Depth, Width (#Nodes), Width (#States)
0, 1, 1
1, 1, 1
2, 1, 1
3, 1, 1
4, 3, 3
5, 4, 5
6, 5, 7
7, 5, 8
8, 3, 4
9, 1, 1
10, 1, 1
11, 1, 1
12, 2, 2
13, 2, 2
14, 1, 1
15, 1, 1
16, 1, 1
17, 1, 1
18, 1, 1
19, 1, 1
20, 1, 1
21, 2, 2
22, 2, 2
23, 1, 1
24, 1, 1
25, 1, 1
26, 3, 3
27, 4, 5
28, 4, 4
29, 4, 4
30, 4, 5
31, 3, 4
32, 1, 1
33, 1, 1
34, 1, 1
35, 2, 2
36, 2, 2
37, 1, 1
38, 1, 1
39, 1, 1
40, 1, 1
41, 1, 1
42, 1, 1
43, 1, 1
44, 2, 2
45, 2, 2
46, 1, 1
47, 1, 1
48, 1, 1
49, 2, 2
50, 2, 2
51, 2, 2
52, 1, 2
53, 1, 1
54, 1, 1
55, 1, 1
56, 1, 1
57, 1, 1
58, 2, 2
59, 2, 2
